name,industries,ratio_orgs,newsapi_totalResults,root_mean_distance,num_orgs,num_non_orgs,num_titlecase,num_articles,org_at_least_once,num_found,num_industries,ratio_case,newsapi_rawResults,avg_article_length
cloudloop,fishing,0,0,0,0,0,0,0,0,0,0,0,0,0
activecloud,entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0
cloudable,blockchain,0,0,0,0,0,0,0,0,0,0,0,0,0
clouder,internet of things,0,0,0,0,0,0,0,0,0,0,0,9,0
appmaker,chemical,0,0,0,0,0,0,0,0,0,0,0,3,0
safe-deposit,financial services,0,9,1792.5,0,2,0,2,0,2,2,0,296,9671
stenotype,consulting,0,0,0,0,0,0,0,0,0,0,0,4,0
knead,cloud computing,0,0,0,0,0,0,0,0,0,0,0,921,0
dimestore,financial services,0,0,0,0,0,0,0,0,0,0,0,10,0
harpischords,agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0
chatlines,automotive,0,1,1543,0,1,0,1,0,1,1,0,4,11406
mantel,chemical,0.071428571,14,16180.35595,6,39,29,12,2,42,63,0.666666667,647,50886.25
stirfry,agriculture,0,0,0,0,0,0,0,0,0,0,0,25,0
daytrader,internet of things,0,0,0,0,0,0,0,0,0,0,0,12,0
excel,apparel,0,71,2458.825039,0,15,7,12,0,16,48,0.5,15211,16475.58333
bauble,toys,0,7,2142.506586,0,8,0,7,0,8,7,0,259,12738
spot,tech,0.018099548,9741,4748.776258,12,137,49,17,1,84,136,0.355882353,162306,12578.76471
pair,tech,0,6492,2997.073916,0,111,9,18,0,69,107,0.194444444,138121,9198.888889
croco,food,0,1,285.3697893,0,8,1,1,0,4,3,0.25,42,4065
feather,entertainment,0,165,7883.118684,0,81,29,17,0,54,78,0.350490196,5357,22566.94118
r-chive,tech,0,0,0,0,0,0,0,0,0,0,0,0,0
shaft,boating,0,4,5530.851861,0,4,0,4,0,4,5,0,3914,19775.25
tiger mom,tutoring/academic,0,0,0,0,0,0,0,0,0,0,0,57,0
black rhino,glasses,0,0,0,0,0,0,0,0,0,0,0,208,0
pot o gold,food,0,14,0,0,0,0,0,0,0,0,0,43,0
slip ink,office supplies,0,0,0,0,0,0,0,0,0,0,0,0,0
cellblock,pharmaceutical,0,0,0,0,0,0,0,0,0,0,0,225,0
big fishing,fishing;outdoor recreation,0,19,3190.657558,0,14,1,15,0,15,145,0.066666667,18,17520.53333
data crunch,big data,0,0,0,0,0,0,0,0,0,0,0,12,0
orzo,finance,0,0,0,0,0,0,0,0,0,0,0,209,0
hedolo,tech,0,0,0,0,0,0,0,0,0,0,0,0,0
ice coast,beverage,0,0,0,0,0,0,0,0,0,0,0,5,0
phamous,entertainment,0,0,0,0,0,0,0,0,0,0,0,1,0
pocket lock,security,0,0,0,0,0,0,0,0,0,0,0,0,0
wonka,candy,0.109375,126,4350.165993,4,230,131,16,3,135,72,0.963869464,787,16241.625
hammer head,construction,0,1,2409.335731,0,2,3,1,0,3,16,1,62,8862
star cash,finance,0,0,0,0,0,0,0,0,0,0,0,3,0
grey steam,transportation,0,0,0,0,0,0,0,0,0,0,0,0,0
honeydew,tech,0,6,14845.61212,0,5,1,6,0,6,62,0.166666667,228,39329.5
great!,apparel,0,3031,0,0,0,0,0,0,0,0,0,597449,0
logic,finance,0.045564893,1285,2547.68951,14,105,32,17,2,70,86,0.166625474,31227,10780.11765
fork and knife,food,0,28,5236.262864,0,34,0,15,0,28,171,0,61,21041.73333
temper,apparel,0,19,5552.679068,0,20,2,16,0,22,45,0.125,6913,16689.25
steve,hardware;computers,0,2483,3205.918351,0,163,90,20,0,90,148,1,101847,10912.3
phones,communications;social media;mobile devices,0,11400,2353.124093,0,64,8,11,0,29,96,0.181818182,58996,10959.72727
cars,transportation;travel,0,18376,2155.437497,0,162,14,19,0,96,293,0.182873851,105646,10674.05263
ebook,apps;software;reading,0,1656,2901.166007,0,333,4,18,0,213,234,0.011695906,4822,7329.666667
glasses,healthcare,0.009920635,556,3328.581101,5,505,23,18,1,192,103,0.206142753,19208,12367.16667
bank,finance;economics,0.973167449,31303,2494.002796,58,92,49,17,15,91,149,0.654469435,188227,8268.941176
accounting,finance,0.388802384,6216,3322.400265,234,569,181,18,9,224,146,0.771808572,34204,11603.83333
bandage,healthcare;pharmaceuticals,0,39,3154.251608,0,84,15,16,0,44,80,0.217391304,1526,14810.6875
insurance,finance,0.974018617,9397,3014.573103,268,222,126,16,12,183,61,0.470287918,79103,9656
bread,food manufacture;groceries,0.049283217,455,1844.142711,27,169,39,20,4,107,63,0.193910256,23832,11762.15
guns,firearms;defense,0.056936027,17615,2328.350439,7,110,18,15,4,92,150,0.12965368,62764,7760.466667
farming,agriculture,0.039242424,4807,2764.727073,6,141,32,15,3,101,105,0.316858814,15771,10965.2
college,education,0.415395115,26569,5288.87096,70,357,63,15,11,224,277,0.528348754,162988,13226.8
ads,advertising;marketing;sales,0.046666667,23725,4859.401383,4,164,19,16,2,142,579,0.173015131,53109,14214.625
mortgage,home ownership;property,0.004886123,5180,3022.646159,6,317,41,20,2,180,167,0.128891997,19343,12733
bicycles,transportation;vehicle,0.004201681,877,1896.398974,1,79,10,14,1,49,146,0.183333333,3605,15473.14286
math,curriculum,0.148974868,1213,3376.730613,12,410,122,18,5,284,143,0.390183645,22872,16422.27778
hospital,healthcare;medicine,0.670429363,19262,2317.28579,93,103,79,19,8,156,302,0.431290459,146889,15599.89474
software,computers;technology,0.098765432,74320,3758.074567,13,135,15,18,4,82,158,0.131128748,220151,17361
coffee,beverages,0.165420875,1839,1619.887893,42,181,35,15,9,108,61,0.338835979,60097,7176.866667
roundcloud,software,0,0,0,0,0,0,0,0,0,0,0,0,0
alleyup,software,0,0,0,0,0,0,0,0,0,0,0,0,0
spoken,software,0.152901786,2493,2704.20223,8,33,24,8,3,29,34,0.5,50458,8445.625
strayze,restaurant,0,0,0,0,0,0,0,0,0,0,0,0,0
embarker,software,0,0,0,0,0,0,0,0,0,0,0,1,0
wool sign,clothing,0,0,0,0,0,0,0,0,0,0,0,0,0
puff club,cigars,0,0,0,0,0,0,0,0,0,0,0,0,0
tasket,software,0,0,0,0,0,0,0,0,0,0,0,11,0
blue rose retail,merchandising,0,0,0,0,0,0,0,0,0,0,0,0,0
vine rise,agricultural products,0,0,0,0,0,0,0,0,0,0,0,0,0
cherry tom's produce,agricultural products,0,0,0,0,0,0,0,0,0,0,0,0,0
naked grains,carpentry,0,0,0,0,0,0,0,0,0,0,0,0,0
bubblephonics,design,0,0,0,0,0,0,0,0,0,0,0,0,0
wooden peacock designs,graphic design,0,0,0,0,0,0,0,0,0,0,0,0,0
thread tension,hobby store,0,0,0,0,0,0,0,0,0,0,0,3,0
mix tread,manufacturing,0,0,0,0,0,0,0,0,0,0,0,0,0
broken spindle,record label,0,0,0,0,0,0,0,0,0,0,0,0,0
heel click,dance studio,0,0,0,0,0,0,0,0,0,0,0,8,0
glass smash,rentals,0,0,0,0,0,0,0,0,0,0,0,3,0
burst,vitamins,0,43,2479.455684,1,18,3,17,1,21,45,0.117647059,27004,17794.58824
